gvkey,fyear,Size,Leverage,MB,ATM_IV,IV_Skew,n_obs
001659,2017,6.784040742956956,0.2047023752817531,1.083942446166717,0.30157608,0.09800104,102
001659,2018,6.747217515090886,0.21692573128043735,1.0257293676429144,0.32423976,0.07703838,198
001686,2017,7.102282147001346,0.21114719461616716,2.3755240879623742,0.30667806,0.04029955,228
001686,2018,6.871262804798098,0.2300424652301885,1.9426401876220238,0.35234016,0.058977503,225
001690,2017,13.579851637774308,0.25899834540750666,5.893829016091371,0.21943662,0.015177104,232
001690,2018,13.886332925233447,0.25629913186137127,10.017924343565383,0.24998033,0.021587214,230
001704,2017,10.999025119087161,0.27313455893712346,6.398096053053803,0.29945394,0.020973936,233
001704,2018,10.367063065641274,0.2987115287233444,4.649065652873227,0.36098984,0.0077798315,232
001722,2017,10.013442696703894,0.16572829867627556,1.2190553158958117,0.21061888,0.022891061,231
001722,2018,10.038989564713878,0.18852398795092204,1.2065871134292188,0.20167714,0.027923873,230
001743,2017,6.820859895265028,0.15156911662728345,1.4072547592952467,0.44645697,0.03939683,225
001743,2018,6.776062902901056,0.15436279544785675,1.2214471311806623,0.46772972,0.034974683,230
001773,2017,8.860957818095171,0.17816187990761478,1.4240488280512382,0.22198352,0.035718787,231
001773,2018,8.67827739869212,0.18213191359078115,1.1030855363108665,0.24628603,0.024241006,230
001794,2017,8.307503726618275,0.2998375493153864,1.1903053435114503,0.20592892,0.02093549,230
001794,2018,8.556283126787708,0.2756907416383907,1.5265179095713446,0.255453,0.011746053,230
001878,2017,10.136179215210229,0.3855503695060288,-98.5931484375,0.33503324,0.025898442,230
001878,2018,10.382688754135906,0.4414488708449632,-153.13266951161688,0.35168737,0.045139853,229
001891,2017,10.727546760677296,0.053856912318450786,11.46459642946945,0.18586656,0.038140945,188
001891,2018,10.982927759072666,0.053989490060314865,17.01371025552087,0.2015448,0.022160249,230
001906,2017,5.919862739590851,0.467410587005417,0.8620056948399193,0.34914815,0.13568863,225
001913,2017,9.221187164254045,0.25624403823317565,9.662644159816479,0.18487948,0.047265694,231
001913,2018,8.937317909772867,0.34217286335103814,7.968544571249082,0.2131634,0.035459246,230
001919,2017,8.473322654809953,0.1782768321420629,0.9234516567517063,0.22482975,0.028701305,187
001919,2018,8.510719129831502,0.1551779777624834,1.0603304937524027,0.23539443,0.055541333,230
001920,2017,6.85292415490128,0.5062873522810244,-1.3057172413793101,0.62431926,0.0172907,231
001920,2018,6.51092478506631,0.5254485049833887,-0.7434472084024323,0.6300391,0.029792398,230
001926,2017,6.966425191598724,0.2787458580891628,1.8761845743918557,0.32813227,0.04386546,226
001926,2018,7.091585946495482,0.2589957467135784,1.9906519160946656,0.33255252,0.053351086,222
001932,2017,11.939487513957873,0.31216409637403764,1.8623259499325882,0.20284957,0.025350792,231
001932,2018,11.196012505802729,0.29577291013774976,0.873286556897198,0.27267486,0.035947993,230
001968,2017,7.238416521576902,0.0,5.016681083574817,0.28961772,0.04535628,215
001968,2018,7.267487736957379,0.0,4.721356922336846,0.29696295,0.04228849,223
001979,2017,7.855859357081151,0.19090610977589045,4.183646440723575,0.23594058,0.030769996,187
001979,2018,7.834890041250933,0.15896388157190822,3.6541235190524244,0.26643658,0.040175002,186
001982,2018,5.511688725141539,0.0,0.6952579742868216,0.3200906,0.19682755,71
001988,2017,9.491224076553813,0.3796377191449706,3.360313587921847,0.20734243,0.020206407,231
001988,2018,9.643106904001074,0.39325842696629215,4.457826153846154,0.22176264,0.029791169,230
002002,2017,8.194900021827818,0.028937331980918364,0.7167810821479912,0.29416966,0.050424073,230
002002,2018,8.459417555133701,0.021937785520077198,0.876397164142601,0.27020845,0.054411616,230
002005,2017,8.198024772469187,0.03427434125661271,2.949801196232064,0.19306195,0.029448314,227
002005,2018,7.935150796559258,0.034160282790909505,2.2029490616621983,0.20345168,0.04469651,209
002019,2017,10.907495824208256,0.06530861474400013,1.4475055323662787,0.19714664,0.033519376,231
002019,2018,10.71901279144702,0.06851708448961483,1.2186556992667672,0.22662799,0.032358814,230
002049,2017,8.124809959217071,0.2221724839329827,2.6796554687258247,0.2392688,0.08222232,228
002049,2018,7.920275433481989,0.33334531874672924,2.287947593461983,0.28151965,0.059787497,191
002080,2017,6.021846311594059,0.0011200076255838338,2.1536571607646504,0.3780653,0.063958585,155
002086,2017,10.463134005144243,0.20507276021272866,3.8361544585708023,0.17586038,0.026521465,231
002086,2018,10.427197639366325,0.22204462630266608,4.332254834488068,0.19780657,0.033355672,230
002101,2017,7.74299691861431,0.20666621024146095,3.093394820034995,0.2393462,0.053015083,125
002101,2018,7.9065529229595795,0.41322354544981255,3.331458544743749,0.2405441,0.09591189,192
002111,2017,10.70695073527357,0.4946997402872741,3.4501185617179053,0.1597609,0.032362815,232
002111,2018,11.1563428596253,0.3505120213713268,3.334911585365854,0.2072552,0.019769838,230
002136,2017,12.282694113647539,0.441940865588408,5.010364411546315,0.17469639,0.024346624,231
002136,2018,12.355797382133265,0.3997787251396184,4.371114785210273,0.18087824,0.029104713,230
002137,2017,10.904159852247748,0.3356799292335477,3.5894826378991818,0.11685196,0.03481775,72
002137,2018,10.788079670002773,0.34605954465849387,2.9610566660553825,0.14588843,0.009324339,94
002154,2017,8.375475698197315,0.4168761317873456,3.6124975024975026,0.2310421,0.04069072,194
002154,2018,8.33732462358335,0.37765331839820776,3.435233160621761,0.24279313,0.03209102,142
002184,2017,9.936685515284493,0.06215035634914553,5.7240042303433,0.36134896,0.017771503,230
002184,2018,9.663976133031245,0.10324781024726766,4.761114857834241,0.347689,0.02556675,229
002259,2017,8.076623932593058,0.4669538611620955,1.8832056602382483,0.19332941,0.023781464,216
002259,2018,8.234047778080452,0.42376797757738505,1.7267472685034937,0.20178626,0.06897407,210
002269,2017,8.663174553045305,0.475846312690846,14.695736466596056,0.32272896,0.02570648,229
002269,2018,8.61165421078587,0.4523193568377655,10.147844151815145,0.30467513,0.029524582,228
